Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,MA5,MA20
2026-01-07,1659.59,1679.52,1659.59,1669.55,49857449,0.0,0.0,1631.68,1509.83
2026-01-08,1654.6,1694.47,1649.62,1679.52,29215618,0.0,0.0,1658.59,1520.29
2026-01-09,1659.59,1694.47,1649.62,1674.54,37387656,0.0,0.0,1677.53,1529.26
2026-01-12,1694.47,1699.46,1684.5,1684.5,29987449,0.0,0.0,1681.51,1540.22
2026-01-13,1714.41,1714.41,1694.47,1704.44,30171800,0.0,0.0,1682.51,1551.69
2026-01-14,1699.46,1709.42,1694.47,1704.44,29100816,0.0,0.0,1689.49,1564.65
2026-01-15,1679.52,1694.47,1674.54,1684.5,36391886,0.0,0.0,1690.48,1577.35
2026-01-16,1729.36,1744.31,1704.44,1734.34,53551629,0.0,0.0,1702.44,1592.8
2026-01-19,1719.39,1774.21,1719.39,1754.28,29580038,0.0,0.0,1716.4,1609.25
2026-01-20,1734.34,1769.23,1734.34,1769.23,29401234,0.0,0.0,1729.36,1626.44
2026-01-21,1739.33,1759.26,1734.34,1734.34,45192749,0.0,0.0,1735.34,1640.15
2026-01-22,1759.26,1764.24,1744.31,1754.28,32069478,0.0,0.0,1749.29,1653.61
2026-01-23,1764.24,1769.23,1744.31,1764.24,27601167,0.0,0.0,1755.27,1667.31
2026-01-26,1759.26,1779.2,1749.29,1749.29,22960198,0.0,0.0,1754.28,1679.52
2026-01-27,1754.28,1779.2,1749.29,1774.21,28985200,0.0,0.0,1755.27,1691.98
2026-01-28,1784.18,1814.08,1784.18,1814.08,29301156,0.0,0.0,1771.22,1706.93
2026-01-29,1824.05,1829.03,1794.15,1799.13,32224002,0.0,0.0,1780.19,1719.64
2026-01-30,1784.18,1794.15,1769.23,1769.23,40825139,0.0,0.0,1781.19,1729.11
2026-02-02,1744.31,1759.26,1739.33,1759.26,28251381,0.0,0.0,1783.18,1733.84
2026-02-03,1804.11,1804.11,1779.2,1794.15,26744162,0.0,0.0,1787.17,1738.58
2026-02-04,1779.2,1799.13,1769.23,1779.2,26952301,0.0,0.0,1780.19,1744.06
2026-02-05,1759.26,1774.21,1754.28,1759.26,26299986,0.0,0.0,1772.22,1748.05
2026-02-06,1739.33,1774.21,1734.34,1774.21,33263592,0.0,0.0,1773.22,1753.03
2026-02-09,1824.05,1829.03,1809.1,1809.1,36529289,0.0,0.0,1783.18,1759.26
2026-02-10,1839.0,1873.89,1834.02,1873.89,41859169,0.0,0.0,1799.13,1767.73
2026-02-11,1873.89,1918.74,1868.9,1908.77,40488310,0.0,0.0,1825.05,1777.95
2026-02-23,1893.82,1928.71,1893.82,1893.82,69816209,0.0,0.0,1851.96,1788.42
2026-02-24,1908.77,1968.58,1908.77,1958.61,40961679,0.0,0.0,1888.84,1799.63
2026-02-25,1988.51,2018.41,1988.51,2008.45,40832607,0.0,0.0,1928.71,1812.34
2026-02-26,1993.5,2003.46,1988.51,1988.51,58561388,0.0,0.0,1951.63,1823.3
2026-03-02,1933.69,1988.51,1933.69,1968.58,48884884,0.0,0.0,1963.59,1835.01
2026-03-03,1963.59,1973.56,1928.71,1928.71,43090471,0.0,0.0,1970.57,1843.74
2026-03-04,1888.84,1903.79,1858.93,1858.93,68160943,0.0,0.0,1950.64,1848.47
2026-03-05,1933.69,1953.63,1888.84,1893.82,48120463,0.0,0.0,1927.71,1855.7
2026-03-06,1873.89,1893.82,1873.89,1883.85,30082724,0.0,0.0,1906.78,1861.18
2026-03-09,1769.23,1804.11,1764.24,1804.11,76459172,0.0,0.0,1873.88,1860.68
2026-03-10,1863.92,1883.85,1824.05,1843.98,41375691,0.0,0.0,1856.94,1862.92
2026-03-11,1878.87,1943.66,1868.9,1933.69,36167313,0.0,0.0,1871.89,1871.14
2026-03-12,1893.82,1908.77,1878.87,1878.87,34040589,0.0,0.0,1868.9,1877.13
2026-03-13,1834.02,1878.87,1834.02,1858.93,31214304,0.0,0.0,1863.92,1880.36
2026-03-16,1868.9,1873.89,1839.0,1839.0,31249086,0.0,0.0,1870.89,1883.35
2026-03-17,1875.0,1880.0,1860.0,1870.0,23812211,6.0,0.0,1876.1,1888.89
2026-03-18,1900.0,1910.0,1890.0,1905.0,23068156,0.0,0.0,1870.36,1895.43
2026-03-19,1875.0,1880.0,1850.0,1850.0,31040569,0.0,0.0,1864.59,1897.48
2026-03-20,1860.0,1870.0,1840.0,1840.0,46312322,0.0,0.0,1860.8,1895.78
2026-03-23,1790.0,1815.0,1785.0,1810.0,34902948,0.0,0.0,1855.0,1890.84
2026-03-24,1850.0,1850.0,1800.0,1810.0,27001025,0.0,0.0,1843.0,1886.65
2026-03-25,1865.0,1875.0,1845.0,1845.0,40964040,0.0,0.0,1831.0,1880.97
2026-03-26,1850.0,1865.0,1840.0,1840.0,20958470,0.0,0.0,1829.0,1872.55
2026-03-27,1805.0,1825.0,1800.0,1820.0,28974140,0.0,0.0,1825.0,1864.12
2026-03-30,1780.0,1800.0,1780.0,1780.0,39889700,0.0,0.0,1819.0,1854.69
2026-03-31,1775.0,1790.0,1760.0,1760.0,49221091,0.0,0.0,1809.0,1846.26
2026-04-01,1840.0,1855.0,1830.0,1855.0,35537379,0.0,0.0,1811.0,1846.06
2026-04-02,1865.0,1865.0,1805.0,1810.0,25132417,0.0,0.0,1805.0,1841.87
2026-04-07,1850.0,1860.0,1835.0,1860.0,17953562,0.0,0.0,1813.0,1840.68
2026-04-08,1935.0,1950.0,1925.0,1950.0,46515921,0.0,0.0,1847.0,1847.97
2026-04-09,1945.0,1955.0,1930.0,1955.0,31835073,0.0,0.0,1886.0,1853.52
2026-04-10,1975.0,2000.0,1970.0,2000.0,28637625,0.0,0.0,1915.0,1856.84
2026-04-13,1985.0,1995.0,1975.0,1990.0,28968757,0.0,0.0,1951.0,1862.4
2026-04-14,2015.0,2055.0,2010.0,2055.0,39113405,0.0,0.0,1990.0,1872.2
2026-04-15,2065.0,2100.0,2060.0,2080.0,40343568,0.0,0.0,2016.0,1884.25
2026-04-16,2080.0,2090.0,2055.0,2085.0,32038524,0.0,0.0,2042.0,1895.0
2026-04-17,2055.0,2060.0,2030.0,2030.0,39260244,0.0,0.0,2048.0,1901.25
